model,accuracy,precision,recall,f1,roc_auc,version
Gradient Boosting,0.8855555555555555,0.891566265060241,0.8644859813084113,0.8778173190984578,0.9607933282512275,default
Random Forest,0.8905555555555555,0.9003645200486027,0.8656542056074766,0.8826682549136391,0.9582774384207193,default
Extra Trees,0.8883333333333333,0.8979343863912516,0.8633177570093458,0.8802858844550328,0.9569161601061302,default
Random Forest,0.8888888888888888,0.9,0.8621495327102804,0.8806682577565632,0.9616744465784888,tuned
Gradient Boosting,0.8888888888888888,0.8932853717026379,0.8703271028037384,0.8816568047337278,0.9614591170996357,tuned
Extra Trees,0.8905555555555555,0.9033047735618115,0.8621495327102804,0.8822474596533174,0.9603174996039918,tuned
